GEO_ID,NAME,S1901_C01_001E,S1901_C01_001M,S1901_C01_002E,S1901_C01_002M,S1901_C01_003E,S1901_C01_003M,S1901_C01_004E,S1901_C01_004M,S1901_C01_005E,S1901_C01_005M,S1901_C01_006E,S1901_C01_006M,S1901_C01_007E,S1901_C01_007M,S1901_C01_008E,S1901_C01_008M,S1901_C01_009E,S1901_C01_009M,S1901_C01_010E,S1901_C01_010M,S1901_C01_011E,S1901_C01_011M,S1901_C01_012E,S1901_C01_012M,S1901_C01_013E,S1901_C01_013M,S1901_C01_014E,S1901_C01_014M,S1901_C01_015E,S1901_C01_015M,S1901_C01_016E,S1901_C01_016M,S1901_C02_001E,S1901_C02_001M,S1901_C02_002E,S1901_C02_002M,S1901_C02_003E,S1901_C02_003M,S1901_C02_004E,S1901_C02_004M,S1901_C02_005E,S1901_C02_005M,S1901_C02_006E,S1901_C02_006M,S1901_C02_007E,S1901_C02_007M,S1901_C02_008E,S1901_C02_008M,S1901_C02_009E,S1901_C02_009M,S1901_C02_010E,S1901_C02_010M,S1901_C02_011E,S1901_C02_011M,S1901_C02_012E,S1901_C02_012M,S1901_C02_013E,S1901_C02_013M,S1901_C02_014E,S1901_C02_014M,S1901_C02_015E,S1901_C02_015M,S1901_C02_016E,S1901_C02_016M,S1901_C03_001E,S1901_C03_001M,S1901_C03_002E,S1901_C03_002M,S1901_C03_003E,S1901_C03_003M,S1901_C03_004E,S1901_C03_004M,S1901_C03_005E,S1901_C03_005M,S1901_C03_006E,S1901_C03_006M,S1901_C03_007E,S1901_C03_007M,S1901_C03_008E,S1901_C03_008M,S1901_C03_009E,S1901_C03_009M,S1901_C03_010E,S1901_C03_010M,S1901_C03_011E,S1901_C03_011M,S1901_C03_012E,S1901_C03_012M,S1901_C03_013E,S1901_C03_013M,S1901_C03_014E,S1901_C03_014M,S1901_C03_015E,S1901_C03_015M,S1901_C03_016E,S1901_C03_016M,S1901_C04_001E,S1901_C04_001M,S1901_C04_002E,S1901_C04_002M,S1901_C04_003E,S1901_C04_003M,S1901_C04_004E,S1901_C04_004M,S1901_C04_005E,S1901_C04_005M,S1901_C04_006E,S1901_C04_006M,S1901_C04_007E,S1901_C04_007M,S1901_C04_008E,S1901_C04_008M,S1901_C04_009E,S1901_C04_009M,S1901_C04_010E,S1901_C04_010M,S1901_C04_011E,S1901_C04_011M,S1901_C04_012E,S1901_C04_012M,S1901_C04_013E,S1901_C04_013M,S1901_C04_014E,S1901_C04_014M,S1901_C04_015E,S1901_C04_015M,S1901_C04_016E,S1901_C04_016M
860Z200US90403,ZCTA5 90403,13064,639,7.7,2,2.3,1.2,5.4,1.9,4,1.5,4.7,1.6,10,2.2,8.1,2.6,14.5,2.9,14.4,3.3,28.9,3.2,123391,12193,173686,12154,35.2,(X),(X),(X),(X),(X),5567,527,2.6,1.6,1.9,1.6,4.3,2.9,1.3,1.3,2.6,1.8,9.5,3.2,7.5,3.7,13.2,4.3,16.9,5.8,40.2,4.8,167944,14961,227835,20113,(X),(X),40.7,(X),(X),(X),4484,509,2.8,1.7,0.2,0.3,3.5,2.9,1,1.5,2.1,1.9,6.4,3.1,5.8,2.9,13.1,4.9,17.7,6.5,47.5,6,193547,18913,N,N,(X),(X),(X),(X),(X),(X),7497,725,11.6,3.3,2.9,1.8,6.2,2.5,6.1,2.6,6.2,2.3,10.6,2.9,8.6,3.3,14.9,4.1,12.9,3.7,20.1,4.2,91857,18667,132259,13632,(X),(X),(X),(X),30.1,(X)
860Z200US90404,ZCTA5 90404,10492,552,6.8,2,4.9,2.3,5.7,2,3.7,1.7,10.5,3.5,12.3,2.2,13,3.1,13.1,2.3,8.8,2,21.2,3.3,87209,10883,128582,10465,37.2,(X),(X),(X),(X),(X),4772,381,3.4,1.9,3.1,2.4,4.5,2.5,1.9,1.8,12.5,4.5,11.4,3.6,16.3,5.3,11.3,3.5,8.2,2.9,27.4,5.2,97372,9959,149986,15906,(X),(X),36.3,(X),(X),(X),3104,374,2.1,2.1,2.4,2.6,3.5,2.9,2.6,2.6,5.9,4.4,11,4.8,13.1,5.3,11.4,3.7,10.8,3.9,37.1,6.8,137411,28121,N,N,(X),(X),(X),(X),(X),(X),5720,516,10.1,3.4,6.4,3.8,6.7,2.9,5.2,2.3,10.4,4.9,13,3.1,10.1,4.3,14.1,3.7,8.9,2.8,15.2,4.1,71235,10261,107693,13798,(X),(X),(X),(X),37,(X)
860Z200US90405,ZCTA5 90405,14000,732,9.1,2.9,2.2,0.8,5.6,2,6.2,1.8,7.2,1.7,9.9,2.2,9.1,2.3,15.8,2.9,10.4,2,24.7,3,101713,11649,157062,13844,31.3,(X),(X),(X),(X),(X),5336,506,2.1,1.4,1.1,1.1,2.7,1.8,5.8,3,6.8,2.7,8.8,2.8,5.3,2.1,15.9,6.2,12.8,3,38.5,5,153333,24413,224508,22242,(X),(X),36.5,(X),(X),(X),3799,370,1.3,0.9,1.2,1.3,2.3,1.6,3.1,2.2,5.8,3.2,7.9,3,5.6,2.6,9.7,3.4,12.4,3.2,50.7,5.1,201086,19894,N,N,(X),(X),(X),(X),(X),(X),8664,728,13.4,4.4,2.8,1.1,7.7,3.1,6.5,2.2,7.7,2.3,10.4,3,11.7,3.4,15.5,3.3,9,2.6,15.4,3.8,80951,14574,112901,17000,(X),(X),(X),(X),27.7,(X)
860Z200US90501,ZCTA5 90501,14607,614,3.6,1.3,2.4,1.1,5,1.2,5.9,1.7,9.4,1.8,16.3,2.9,10.9,1.8,19.9,3.2,11.2,2.1,15.5,2.3,89926,6807,122347,10769,33.5,(X),(X),(X),(X),(X),10131,602,2,1,1.9,1.1,5.5,1.7,5.7,1.8,8.2,2.3,14.9,3.1,10.3,2.1,20.6,3.6,12,2.5,18.7,2.7,102236,12382,126138,6908,(X),(X),35.2,(X),(X),(X),7317,482,1.3,0.8,1.1,1,3.2,1.5,3.7,1.8,6.1,2.1,12.8,4,10.9,2.8,24,4.2,12.6,2.5,24.3,3.8,119914,4403,N,N,(X),(X),(X),(X),(X),(X),4476,545,8.3,3.2,3.6,2.6,5.5,2.3,8.6,3.3,11.7,3.5,17.2,4.7,10.7,3.9,18.3,4.5,9.2,4,7,3.4,71382,10234,108918,32517,(X),(X),(X),(X),29.1,(X)
860Z200US90502,ZCTA5 90502,6457,527,3.5,1.8,0.9,0.7,3.6,1.9,6.6,4.7,9.9,2.8,15.5,4.3,11.2,2.7,21.1,4.5,18,4,9.8,3,95528,19000,116729,11086,34.9,(X),(X),(X),(X),(X),4677,485,1.6,1.4,0.5,0.5,5.2,3.3,6.9,6.1,8.3,3.1,13.6,4.1,10.4,3.4,22.1,5.3,20.8,5.2,10.4,3.4,103882,9077,122206,12016,(X),(X),37.4,(X),(X),(X),3157,464,0.3,0.5,0.7,0.8,4.9,3.3,7.5,8.8,4.6,2.3,11.3,4.3,10.3,4.2,23.1,6.7,26.1,7.2,11.2,4.2,121175,25951,N,N,(X),(X),(X),(X),(X),(X),1780,325,8.4,5.2,1.8,2.1,3.3,2.3,6,5.2,12.7,6.4,22.5,9.2,13.3,5.2,18.1,8,7.4,4.6,6.5,4.7,71719,13492,94489,25486,(X),(X),(X),(X),24.3,(X)
860Z200US90503,ZCTA5 90503,17183,672,3,0.9,2.5,1.6,3.9,1.1,3.7,1.1,7.7,2.2,11.6,1.8,11.3,1.9,19,2.3,14.8,1.8,22.6,1.8,117364,6912,140458,5540,27.2,(X),(X),(X),(X),(X),11360,602,3.5,2.7,0.2,0.2,1.8,1,1.8,0.8,5,1.6,9.4,2.1,10.5,2.1,21,2.9,17.9,2.5,28.8,2.7,140172,7569,159957,8147,(X),(X),28.6,(X),(X),(X),8655,540,0.8,0.7,0.1,0.2,1.4,0.7,1.6,0.9,3.9,1.7,7.8,2.1,8.2,2.1,22.3,3.2,20.3,3,33.7,3.3,158648,7263,N,N,(X),(X),(X),(X),(X),(X),5823,610,5.3,1.6,6.9,4.4,7.9,2.8,7.5,2.8,10.2,3.4,16.9,4.3,13.9,3.3,14.7,3.5,7.4,3.4,9.3,2.9,67564,5766,96512,11221,(X),(X),(X),(X),23.3,(X)
860Z200US90504,ZCTA5 90504,11654,528,3.6,1.3,1.2,0.9,5.9,2.5,4,1.7,7.1,1.9,14.9,3.3,11.7,2.6,20,2.9,13.5,2.8,18,2.5,101773,6422,127743,8262,33.3,(X),(X),(X),(X),(X),8222,480,1.3,0.9,1.4,1.1,3.7,1.3,3.4,2,6.1,1.9,11.2,2.8,11.4,2.6,19.8,3.4,17.6,3.8,23.9,3.4,125376,8719,149642,10195,(X),(X),36,(X),(X),(X),6231,539,1.3,1.2,0.3,0.3,2.8,1.4,2.2,2.5,5.3,2.2,9.5,3.2,10.4,2.6,19,3.8,19.8,4.6,29.2,4,146341,13311,N,N,(X),(X),(X),(X),(X),(X),3432,467,9.6,3.9,1.7,1.7,10.5,7,6.9,3.1,9.3,4.3,24.7,8.5,12.9,5.4,18.9,5.3,3,1.8,2.6,1.5,64453,6155,69936,6443,(X),(X),(X),(X),25.8,(X)
860Z200US90505,ZCTA5 90505,14113,600,3.6,0.9,1.5,0.7,2.3,1,5.8,2,8.8,2,11,1.5,12.4,2.7,20.9,2.6,12.2,1.9,21.6,2.1,108857,7585,141451,7417,29.5,(X),(X),(X),(X),(X),9445,435,1.4,0.9,0.7,0.4,0.9,0.8,4,2.3,7.3,2.2,9.1,2,9.1,2.1,24,3.1,15.2,2.7,28.3,2.9,133118,4180,164802,8368,(X),(X),27.2,(X),(X),(X),7720,488,0.8,0.5,0.7,0.5,0.2,0.3,3.3,2.5,5,2.1,7.9,2.1,7,1.8,26,3.5,16.6,3,32.6,3.6,146055,11644,N,N,(X),(X),(X),(X),(X),(X),4668,536,8,2.9,2.9,1.9,5.2,2.4,9.5,3.2,12.2,4.1,14.7,3.3,18.9,5.5,15.3,4.7,5.8,2.1,7.4,2.9,71071,11389,92673,14423,(X),(X),(X),(X),32.7,(X)
860Z200US90506,ZCTA5 90506,0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),-,(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
860Z200US90601,ZCTA5 90601,10812,516,5,1.5,2,1,6.5,2.1,2.7,1,10.4,2.9,12.3,2.4,13,2.3,20.7,2.8,15.4,2.8,11.9,1.8,96209,5371,113826,6471,34.8,(X),(X),(X),(X),(X),7556,545,2.9,1.7,0.6,0.5,3.1,1.6,2.3,1.1,11.1,3.5,12.6,2.8,14,3,24.2,3.4,16.1,3,13.2,2.3,107775,6285,122578,7243,(X),(X),35.5,(X),(X),(X),5525,448,2.2,1.9,0.5,0.5,2.7,1.5,1.1,0.8,8,2.8,11.1,2.8,11.9,3.6,28,4.6,17.9,3.3,16.5,3,121058,7923,N,N,(X),(X),(X),(X),(X),(X),3256,430,12.4,3.7,5.4,3.1,14.7,5.5,4,2.1,11.5,4.4,13.2,4.4,12.5,4.9,11.6,3.4,8,4.1,6.7,3.7,51766,10278,80318,15852,(X),(X),(X),(X),32.2,(X)
860Z200US90602,ZCTA5 90602,7905,388,3.4,1.6,3.4,1.2,8.8,3,8.8,2.3,12.3,2.9,19.5,3.5,11.6,2.4,15.1,2.7,8.4,2.2,8.8,2.2,63956,3516,89398,6202,39.3,(X),(X),(X),(X),(X),5564,338,3.5,2.1,1.6,1.1,5.9,2.2,6.6,2.6,11.8,3.2,21.2,4.3,13.7,2.8,16.9,3,9.1,2.7,9.8,2.6,74478,5247,96702,6495,(X),(X),37.9,(X),(X),(X),3599,303,1.6,1.2,0.3,0.4,4.9,2.3,3.2,1.5,9.6,3.5,20.9,5.3,13.1,3.6,19.4,3.7,12.5,4.1,14.4,4.1,90272,12965,N,N,(X),(X),(X),(X),(X),(X),2341,315,4.6,3.5,8.2,3.3,16.1,8,14.7,4.8,14.3,5.2,16.5,6.2,8.5,3.8,6.7,2.9,5.7,4.1,4.7,3.8,41144,6807,63279,12709,(X),(X),(X),(X),38.3,(X)
860Z200US90603,ZCTA5 90603,6428,386,2.2,1.2,1.4,1.1,2.5,1.3,5.3,2.5,6.2,2.3,12.6,2.9,11.5,3.4,21.8,3.9,17.4,3.9,19.1,3,117324,6539,142823,9315,35,(X),(X),(X),(X),(X),5077,350,0.5,0.5,0.4,0.6,1,0.9,2.7,2,5,2.4,12.7,3.1,13.8,3.9,22.6,4.4,18.7,4.9,22.7,4,128463,14970,157472,11875,(X),(X),34.4,(X),(X),(X),3697,404,0.6,0.6,0,1.1,0.6,0.6,3.2,2.6,2.2,1.8,10.1,2.6,8.9,3.8,21.3,5.1,23,6.3,30.1,5.1,154647,19640,N,N,(X),(X),(X),(X),(X),(X),1351,253,8.8,5.3,5.8,5.1,10.2,6.1,14.2,7.9,13.3,8.1,14.2,6.6,12.1,6.1,15,8.4,1.4,2.2,4.9,3.4,46705,15752,70846,17659,(X),(X),(X),(X),36.6,(X)
860Z200US90604,ZCTA5 90604,11667,405,4.5,1.5,1.9,0.9,3.5,1.1,5.3,1.6,7.7,1.8,14.8,2.4,14.7,2.2,21.3,2.7,13.2,2.2,13.2,2.8,95570,5583,112703,6344,37.1,(X),(X),(X),(X),(X),9095,495,2.6,1.4,1,0.9,2,0.9,3,1.1,6.5,2,14.8,2.7,15.3,2.8,25.4,3.7,14,2.4,15.5,3.6,111014,6446,124243,7723,(X),(X),38.5,(X),(X),(X),6857,508,2.2,1.6,0.4,0.5,1.6,0.9,2.6,1.2,6.5,2.6,11.7,3.1,12.5,2.7,28.7,4.5,14.9,2.8,18.9,4.4,120411,9063,N,N,(X),(X),(X),(X),(X),(X),2572,319,11.4,4.8,6,3.5,10.2,3.9,12.6,5,12.3,4,18.8,5.6,12.1,4,8.6,2.8,5.7,2.7,2.4,1.7,47143,9715,61877,6907,(X),(X),(X),(X),30.6,(X)
860Z200US90605,ZCTA5 90605,10917,433,3.6,1.3,1.5,0.7,4.6,1.5,5.9,1.5,7.2,1.7,13.9,2.6,16.1,2.8,21,3.4,12.3,2,13.9,2.5,94200,5294,115125,6038,42.9,(X),(X),(X),(X),(X),8999,424,2.6,1,0.9,0.5,2.7,1.2,5.1,1.7,8.3,2.2,13.6,2.5,18,3.1,21.4,3.8,12.2,2.3,15.3,2.9,97329,8782,121153,6694,(X),(X),42.6,(X),(X),(X),6453,416,1.5,1,0.1,0.1,2.9,1.7,3.3,1.8,5.5,1.9,11,3.2,18.3,3.8,23.4,5,14.9,3.2,19.2,4,117813,9514,N,N,(X),(X),(X),(X),(X),(X),1918,295,9.4,5,4.7,3.5,13.2,6,10.7,4.9,8.1,4.2,19.7,8.1,7.3,4.4,17.4,7.2,4.5,3.1,5,3.6,52963,7434,70111,12629,(X),(X),(X),(X),35.3,(X)
860Z200US90606,ZCTA5 90606,8645,365,5.6,2.4,2.7,1.1,3.7,1.4,5.6,1.8,10.5,3,15.1,2.7,14.2,3.2,22.7,3.2,11.3,2.1,8.6,2.1,86596,5870,101430,5582,41,(X),(X),(X),(X),(X),6869,384,3,1.5,1.1,0.8,3.2,1.6,4.7,1.9,11.2,3.4,15.8,2.7,15.4,3.3,25.1,3.9,10.8,2.6,9.7,2.5,92298,6806,108695,6748,(X),(X),40.3,(X),(X),(X),4671,388,1.6,1,1.3,1.1,1.6,1.3,3.7,1.7,8.1,2.9,17,3.8,11.5,3.1,28.7,4.8,14.6,3.7,11.9,3.3,109522,10227,N,N,(X),(X),(X),(X),(X),(X),1776,333,18.1,8.7,9,4.8,7.5,3.9,9.2,4.3,16.4,6.2,15.7,6.5,9.1,4.1,12.1,5.4,1.7,2.3,1.3,1.3,39058,8046,50012,7685,(X),(X),(X),(X),38.3,(X)
860Z200US90620,ZCTA5 90620,13223,535,2.8,1.3,1.7,0.9,2.4,1,4.7,1.2,7.5,1.5,11.1,2,11.9,2.1,22.9,2.6,16.5,2,18.7,2.5,115501,5295,136504,8580,51,(X),(X),(X),(X),(X),11040,516,1.7,1.4,1.1,0.9,2,1.1,3.4,1.4,7,1.4,11.1,2.1,12.8,2.6,23.2,2.9,18,2.3,19.6,2.7,119848,6088,144156,10126,(X),(X),52.3,(X),(X),(X),8677,489,1.7,1.6,1.1,1.2,0.9,0.7,3.8,1.7,5.9,1.9,9.1,2.1,11.7,2.7,21.4,3,20.7,2.8,23.6,3.2,137572,8570,N,N,(X),(X),(X),(X),(X),(X),2183,350,8.6,3.9,4.8,3,4.6,3.2,10.9,5,12.4,4.7,14.3,5.7,12.1,5.6,20.2,9,5.2,3.3,7,4,63935,16925,81377,9480,(X),(X),(X),(X),40.4,(X)
860Z200US90621,ZCTA5 90621,10892,544,3.5,1.3,2.3,1.1,3,1.2,4.7,1.9,9.4,2.1,16.8,3.8,16.7,3.6,19.8,4,11.8,2.3,12,3,88735,8481,110518,7425,46.3,(X),(X),(X),(X),(X),8723,617,3.2,1.4,1.7,1,3.7,1.7,6,2.4,9.7,2.5,20.8,4.8,15.2,3.6,16.5,3.8,11,2.6,12.3,3.7,82350,7608,107861,9166,(X),(X),49.2,(X),(X),(X),5636,620,2.8,1.6,1.5,1.3,2.7,1.8,3.6,1.9,6.8,2.4,17.7,5.7,17.5,5,17.2,4.5,13.8,3.9,16.4,5.3,97417,5336,N,N,(X),(X),(X),(X),(X),(X),2169,375,5.4,2.9,6,3.5,6,3.7,2.9,1.9,12.4,5.3,13.2,7.1,17.1,7,16.9,6.3,12.1,5,8,5.2,77983,12131,90770,12141,(X),(X),(X),(X),31.9,(X)
860Z200US90623,ZCTA5 90623,5045,208,4.8,3.1,1,0.8,2.4,1.2,6.8,2.6,11.4,5.1,11.4,3.2,9.7,2.6,16.8,4,12.3,2.9,23.4,3.8,110028,17362,145028,26258,45.8,(X),(X),(X),(X),(X),3919,197,1,1,0.4,0.5,1.8,1.3,5.5,2.4,8.1,4.9,12.3,3.7,10,2.9,17.9,4.5,14.5,3.4,28.5,4.6,121513,14746,166450,32236,(X),(X),44.6,(X),(X),(X),3138,252,1,1.1,0.5,0.6,2,1.6,2.6,1.3,6.6,5.4,11.6,4.3,7.7,2.9,21.6,5.2,15.1,4,31.2,5.9,141429,28603,N,N,(X),(X),(X),(X),(X),(X),1126,244,17.7,12,3.8,3.5,4.4,3.1,12.7,6.8,22.7,12.5,9.9,5.5,10.4,6.7,8.7,6.3,6,5.5,3.7,2.9,41667,4007,63817,12815,(X),(X),(X),(X),46.9,(X)
860Z200US90630,ZCTA5 90630,16137,434,3.7,1.6,1.4,0.6,3.5,1.2,4.3,1.4,6.7,1.2,10.3,1.4,11,1.7,21.8,2.4,16.2,1.8,21.1,2.3,117610,4544,143271,7286,39.7,(X),(X),(X),(X),(X),12776,335,1.3,0.5,1.1,0.5,2.1,0.8,3.8,1.1,5.6,1.3,8.7,1.6,10.9,2,24.8,3,16.9,2,24.8,2.6,131549,6332,158445,8291,(X),(X),40.4,(X),(X),(X),9834,347,0.6,0.4,0.7,0.4,1.2,0.8,2.6,1.1,4.1,1.4,7.9,1.8,9.5,2,25.3,3.5,17.8,2.4,30.4,3.1,147112,7166,N,N,(X),(X),(X),(X),(X),(X),3361,427,13.5,7,3.9,2.3,9,4.8,7,4.6,9.8,2.9,16.8,4.1,14.5,4.5,11.9,3.9,8.4,3.9,5.3,3.4,61810,7042,75927,9372,(X),(X),(X),(X),35.6,(X)
860Z200US90631,ZCTA5 90631,22289,507,3.2,0.8,2.8,0.9,3.6,1,4.6,1.2,9.1,1.5,14.2,1.9,13.4,2.2,20.9,2.6,13,1.7,15.2,2,98009,5286,125983,6803,41.9,(X),(X),(X),(X),(X),16801,455,2.7,1,1.3,0.6,3.1,0.9,4.4,1.2,7.7,1.5,14.2,2.1,15.1,2.5,19.5,2.3,15.5,2.1,16.6,1.9,103363,6344,131957,5855,(X),(X),42.8,(X),(X),(X),12134,542,2.4,1.2,1.3,0.7,1.4,0.6,3.3,1.5,6.2,1.4,11.8,2.4,14.4,2.8,20.7,2.7,17.4,2.5,21.1,2.6,120562,7551,N,N,(X),(X),(X),(X),(X),(X),5488,649,5.6,1.8,7.7,3.2,7.1,2.9,5.4,2.1,12.7,3.8,16.4,3.8,9.4,3,23.8,6.5,5.5,2.2,6.5,3,66605,8050,94734,17301,(X),(X),(X),(X),36.6,(X)
860Z200US90638,ZCTA5 90638,14908,541,3.2,1.1,2.5,1.3,6.6,1.7,3.4,1.1,5.3,1.6,15.4,3.1,10.2,1.6,22.3,2.3,13.5,1.7,17.5,2,104114,6126,122431,5315,35.3,(X),(X),(X),(X),(X),11734,337,0.9,0.5,1,0.5,3.5,1.5,2.7,1.2,5.1,2,13.7,2.9,12.6,1.9,24.3,2.9,16,2,20.1,2.3,117167,4945,135943,5108,(X),(X),38.1,(X),(X),(X),8899,432,0.4,0.3,1.1,0.6,4.1,1.8,2.2,1.1,4.3,2.4,12.4,3.2,11.4,2.1,22.7,3,17.1,2.5,24.2,2.9,125906,7934,N,N,(X),(X),(X),(X),(X),(X),3174,553,11.8,4.6,8.4,5.6,18.2,6.1,7.4,2.9,7.2,2.8,22.7,10.7,2.4,1.5,13.8,4.4,4.7,2.5,3.2,1.4,39798,18460,62300,8909,(X),(X),(X),(X),24.4,(X)
860Z200US90639,ZCTA5 90639,0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,(X),(X),(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),-,(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),(X),(X),0,13,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,-,**,(X),(X),(X),(X),-,(X)
860Z200US90640,ZCTA5 90640,19348,495,5.2,1.2,3.6,0.8,5.9,1.2,7.3,1.4,11.9,2,17.5,2,12.7,1.6,18.1,1.9,9.3,1.5,8.5,1.4,72163,3774,94656,4038,42.5,(X),(X),(X),(X),(X),14496,448,3.5,1.1,1.8,0.7,4.7,1.1,6.4,1.4,11.7,2,19.3,2.4,14.1,1.8,19.4,2.2,10.5,1.8,8.6,1.5,78714,5043,100253,4582,(X),(X),45.3,(X),(X),(X),8155,428,1.4,1,1.9,1.1,3.9,1.4,5,1.4,9.6,2.5,18.1,3.2,13.8,2.4,21.8,3.2,13.4,2.2,11.2,2,93911,7140,111666,5703,(X),(X),(X),(X),(X),(X),4852,524,12.1,3.7,9.3,2.6,11,3,12.6,3.5,15.3,4.5,13.3,3.2,9.2,4.2,9.1,2.9,4,1.8,4.1,3.1,40052,7540,61712,8495,(X),(X),(X),(X),29,(X)
860Z200US90650,ZCTA5 90650,26508,563,3.2,0.7,2.2,0.6,5,0.9,5.8,1.1,8.4,1.3,15,1.4,15.6,1.7,22.8,1.8,12.4,1.8,9.5,1.3,91259,3266,107386,3688,46.1,(X),(X),(X),(X),(X),21735,533,2,0.6,1.3,0.7,3.4,0.7,5.1,1.4,8.7,1.2,16,1.6,15.9,1.7,25.2,2.2,12.9,2.2,9.7,1.5,96884,4105,111579,4309,(X),(X),46.7,(X),(X),(X),14613,585,0.9,0.4,1.3,0.9,2.6,0.9,2.4,0.7,5.5,1.1,14.7,2,16.8,2,28.5,2.7,14.9,2.7,12.4,2.1,109232,3607,125391,5778,(X),(X),(X),(X),(X),(X),4773,418,11.1,3.2,8.2,2.7,14.2,3.3,13.6,2.9,9.9,4,11.7,3.2,9.7,3.1,12.4,3.4,4,2.4,5.1,2.7,39078,7596,64992,8882,(X),(X),(X),(X),37.3,(X)
860Z200US90660,ZCTA5 90660,16665,503,4.4,1.2,4.9,2.2,5.6,1.6,6.6,1.3,7.8,1.5,17.1,2.3,13.1,1.9,19.7,2.1,8.8,1.4,12,2,82539,4964,102133,6557,44,(X),(X),(X),(X),(X),13289,379,2.7,1.1,1.1,0.6,5,1.9,5.9,1.5,8.4,1.8,17.2,2.5,14.9,2.1,23.1,2.4,9.1,1.7,12.6,2.4,90234,4373,109269,7389,(X),(X),44.5,(X),(X),(X),8867,603,1.4,0.8,0.2,0.2,4.7,2.6,6,1.6,6.9,2.2,16.4,3,12.8,2.1,24.3,3.1,11.4,2.1,16.1,3.2,105419,9312,122522,9617,(X),(X),(X),(X),(X),(X),3376,469,12.7,4.3,20.4,9.4,9,3.7,8.7,3.5,9.3,3.6,17.7,6.2,11.8,3.8,6.2,3.2,3.3,2,0.8,0.7,33430,12036,47589,7121,(X),(X),(X),(X),39.1,(X)
860Z200US90670,ZCTA5 90670,5345,313,5.7,2,5.6,3,3.3,1.2,6.3,2.5,8.9,3,13.6,3.6,16.7,3.6,17.3,3.7,14.9,3.6,7.8,1.8,83259,9788,100814,6799,40.8,(X),(X),(X),(X),(X),3956,226,2.1,1.4,2.7,2.1,1.6,1.1,6.4,2.9,9.2,3.6,13.5,3.8,18,4.1,18,4.2,19.1,4.5,9.4,2.4,95853,9692,115467,8198,(X),(X),43.5,(X),(X),(X),2697,274,1.2,1.1,0.6,0.9,1,0.9,3.3,1.9,5.7,3.3,11.5,4,16.9,5.4,22,5.5,25.6,5.8,12.2,3.5,127408,12118,N,N,(X),(X),(X),(X),(X),(X),1389,263,18.4,7.2,16,9.2,6.8,3.3,5.3,3.7,9.7,5,12.5,6.2,15.3,7.9,12.2,6.5,1.2,1.4,2.7,2.5,40074,15876,52868,9957,(X),(X),(X),(X),28.4,(X)
860Z200US90680,ZCTA5 90680,10007,613,7.2,1.9,4.2,1.8,5.9,1.5,6.2,1.4,9.5,2.7,14.7,2.7,13.9,2.7,19.6,3.5,10,3.3,8.7,2.1,79303,6294,108060,20587,52.4,(X),(X),(X),(X),(X),6737,349,3.7,1.6,2.6,1.8,5,1.6,6.2,2.1,8.8,2.6,15.9,3.5,16.2,3.5,18.4,3.2,13.1,4.5,10.1,2.8,84747,7530,105096,8791,(X),(X),57.2,(X),(X),(X),4724,361,1.9,1.3,1.4,1.9,4.9,1.8,4.9,2.1,7.2,2.6,14.5,4.5,16.2,4.3,21,4.4,15.4,6.2,12.7,3.4,98764,10237,N,N,(X),(X),(X),(X),(X),(X),3270,588,16.9,5.5,9.4,4.2,8.4,3.3,7.2,3.4,11,5.2,13.3,4.1,8.1,3.3,20.4,7.3,2,1.3,3.5,3,45331,13076,96627,55849,(X),(X),(X),(X),39.6,(X)
860Z200US90701,ZCTA5 90701,4484,287,2.6,1.5,3.5,3,4.9,2.3,5.7,2.6,9.2,3.9,17.1,4.9,10.1,2.6,27.4,7.1,8.4,2.5,11.1,3.3,92702,15560,102932,7625,35.7,(X),(X),(X),(X),(X),3719,246,1.6,1.3,1.6,2.2,1.7,1.1,5.1,3,10.2,4.6,19.9,5.2,10.9,4.2,28.8,8.2,10.7,3.2,9.6,2.8,95417,19921,106903,7095,(X),(X),35.3,(X),(X),(X),2661,280,0.7,0.6,2,3,1.6,1.2,6.8,4.1,9.6,4.4,17.9,6.5,7.5,3.4,29.9,10.2,12,4.1,12.1,3.7,104919,18346,N,N,(X),(X),(X),(X),(X),(X),765,230,7.3,5.3,13.1,13.2,20.4,12.8,9.5,7.2,3.5,3.9,12.8,7.6,10.1,7.6,9.9,9.3,3,5.1,10.3,10.4,-,**,71081,24539,(X),(X),(X),(X),37.8,(X)
