census_tract,num_bll_indicator,perc_bll_indicator,num_bll,tract_name,imprisonment_rt,total_pop_2020,male_population,median_age,white,black,native_am,asian,pac_islander,other_race,age_0_to_14,age_15_to_29,age_30_to_44,age_45_to_64,perc_male,med_income,POC_other,race_categorical
06051000201,1,11.11111111111111,9,"Mono County, Census Tract 2.01",200,2993,1599,36.5,69,0.6,0.3,1.4,0.1,17.3,17.3,18.700000000000003,26.799999999999997,26.1,53.42465753424658,62417,18.2,below_median_poc_other
06093001200,0,0,1,"Siskiyou County, Census Tract 12",699,1279,640,60.8,83.2,0.5,1,0.9,0.3,2,8.8,9.899999999999999,11.3,29.900000000000002,50.03909304143862,44408,3.5,below_median_poc_other
06037481102,9,3.3210332103321036,271,"Los Angeles County, Census Tract 4811.02",171,4083,1974,36.8,11.6,2.9,0.8,56.1,0.1,17.6,15.3,20.7,26.2,25.2,48.346803820720055,63625,21.3,below_median_poc_other
06085502800,0,0,90,"Santa Clara County, Census Tract 5028",90,4422,2171,40.5,52.2,1.3,1,26.3,0.1,7.1,20.3,16.8,19.7,29.2,49.095431931252826,155385,9.399999999999999,below_median_poc_other
06067009409,0,0,154,"Sacramento County, Census Tract 94.09",225,4876,2383,37.1,54.2,1.6,1.3,5.2,0.5,16.7,21.5,20.099999999999998,20.6,26.700000000000003,48.87202625102543,109257,19.6,below_median_poc_other
06037262301,0,0,29,"Los Angeles County, Census Tract 2623.01",144,2778,1102,46.2,73.2,2.4,0.4,13.2,0.1,4.3,13.100000000000001,25.299999999999997,10.3,22.1,39.66882649388049,231188,7.1,below_median_poc_other
06037269601,7,4.216867469879518,166,"Los Angeles County, Census Tract 2696.01",573,3122,1568,33,24.3,13.4,3,4.3,0,39.2,17,27.200000000000003,25.5,22.200000000000003,50.224215246636774,61044,55.6,above_median_poc_other
06053014104,0,0,0,"Monterey County, Census Tract 141.04",237,2523,960,17.9,50.5,2.4,0,21.3,0,18.4,2.8000000000000003,86.8,5.199999999999999,5,38.049940546967896,NA,20.799999999999997,below_median_poc_other
06029006102,3,1.3574660633484164,221,"Kern County, Census Tract 61.02",269,5185,2581,34.1,64.6,1.8,0.9,3.3,0.2,13.4,24.2,20.700000000000003,19.8,22.400000000000002,49.77820636451302,58690,16.1,below_median_poc_other
06013314103,6,1.9607843137254901,306,"Contra Costa County, Census Tract 3141.03",307,5513,2754,32.2,16.1,14.3,2.2,10.8,0.7,41.4,23.2,23.5,23.4,21.200000000000003,49.9546526392164,62235,57.9,above_median_poc_other
06037555106,0,0,216,"Los Angeles County, Census Tract 5551.06",431,3696,1803,33.5,11.7,11.2,3.2,20.6,0.2,40.1,21.700000000000003,23.9,20.4,22.1,48.782467532467535,60781,54.5,above_median_poc_other
06059063803,2,1.694915254237288,118,"Orange County, Census Tract 638.03",115,4353,2252,42.1,62.9,0.8,1,5.4,0.3,13.1,14.400000000000002,16.4,23.299999999999997,28.799999999999997,51.73443602113485,105931,14.9,below_median_poc_other
